pair,name,market,symbol,initial_capital,final_equity,total_return,net_profit,max_dd,max_dd_pct,worst_day,best_day,turnover,net_profit_per_1m_turnover,capital_efficiency,avg_capital_tied,time_to_recovery_bars,longest_underwater_bars,time_underwater_frac,sharpe,sortino,calmar,liquidated,liquidation_count,num_trades,days,fees,score,lens,side,gross_grid_profit,spot_trading_fee,rebate,spread_cost,slippage,inventory_pnl,directional_pnl,funding_paid,funding_received,net_funding,liquidation_loss,x_dir_frac,x_grid_mode,x_fill,x_rebate,x_final_qty,x_avg_cost,etf_grid_value_add,futures_fee,x_min_liquidation_buffer,x_min_margin_ratio,x_forced_deleveraging_count,x_reserve_left,x_target_notional,x_margin_mode,x_reserve_plan,x_leverage_hint,x_add_trigger,perp_grid_value_add,exante_beta,matched_notional,etf_vol,und_vol
SNXX,B_perp_1.5x_iso_P1_d0.5_reb_conservative,perp,SNXX_USDT,1000.0,2090.0918,1.090092,1090.0918,348.3138,0.348314,-0.235976,0.54922,6510.892884,167425.8474,0.878441,1240.9388,465,623,0.56895,3.5664,5.7999,1048.3486,False,0,358,45.583,0.1527,0.763107,same_wallet,long,521.261864,,0.458109,0.0,0.0,581.002626,580.909232,12.079338,0.0,-12.079338,0.0,,,conservative,0.75,,,,0.152703,0.9846839529089613,10.0,0.0,0.0,1500.0,isolated,P1,1.5,0.15,,,,,
SNXX,B_perp_1.5x_iso_P1_d0.0_noreb_conservative,perp,SNXX_USDT,1000.0,1459.9043,0.459904,459.9043,295.3616,0.295362,-0.171084,0.161483,69267.414587,6639.5477,0.776575,592.2213,465,631,0.576256,2.9663,3.572,66.6699,False,0,743,45.583,5.5414,0.714829,same_wallet,long,567.351718,,0.0,0.0,0.0,-98.539657,-101.347506,6.099905,0.0,-6.099905,0.0,,,conservative,0.0,,,,5.541393,0.9835067775799258,10.0,0.0,0.0,1500.0,isolated,P1,1.5,0.15,,,,,
SNXX,B_perp_1.5x_iso_P1_d0.5_noreb_conservative,perp,SNXX_USDT,1000.0,2089.6336,1.089634,1089.6336,348.3753,0.348375,-0.23603,0.549268,6510.892884,167355.487,0.878072,1240.9388,465,623,0.56895,3.5659,5.7987,1046.3202,False,0,358,45.583,0.6108,0.763062,same_wallet,long,521.083935,,0.0,0.0,0.0,581.002626,580.629052,12.079338,0.0,-12.079338,0.0,,,conservative,0.0,,,,0.610812,0.9846839529089613,10.0,0.0,0.0,1500.0,isolated,P1,1.5,0.15,,,,,
SNXX,B_perp_2.0x_iso_P1_d0.0_reb_conservative,perp,SNXX_USDT,1000.0,1620.4519,0.620452,620.4519,343.6977,0.343698,-0.199822,0.200411,92343.311754,6718.9697,1.018239,609.3383,465,631,0.576256,3.2104,3.9597,135.9084,False,0,743,45.583,1.8469,0.73575,same_wallet,long,761.002034,,5.540599,0.0,0.0,-131.4746,-132.410406,8.139717,0.0,-8.139717,0.0,,,conservative,0.75,,,,1.846866,0.9755768614628386,10.0,0.0,0.0,2000.0,isolated,P1,2.0,0.15,,,,,
SNXX,B_perp_2.0x_iso_P1_d0.5_reb_conservative,perp,SNXX_USDT,1000.0,2459.0455,1.459045,1459.0455,384.5761,0.384576,-0.275055,0.732077,8386.63474,173972.6971,1.028468,1418.6593,465,623,0.56895,3.7266,6.5122,3496.9136,False,0,346,45.583,0.1977,0.759118,same_wallet,long,666.899765,,0.593139,0.0,0.0,808.369541,808.248017,16.102318,0.0,-16.102318,0.0,,,conservative,0.75,,,,0.197713,0.9791068924916272,10.0,0.0,0.0,2000.0,isolated,P1,2.0,0.15,,,,,
SNXX,B_perp_2.0x_iso_P1_d0.0_noreb_conservative,perp,SNXX_USDT,1000.0,1614.9113,0.614911,614.9113,344.9171,0.344917,-0.200224,0.200649,92343.311754,6658.9697,1.009146,609.3383,465,631,0.576256,3.1908,3.9342,131.6858,False,0,743,45.583,7.3875,0.734321,same_wallet,long,758.268852,,0.0,0.0,0.0,-131.4746,-135.217822,8.139717,0.0,-8.139717,0.0,,,conservative,0.0,,,,7.387465,0.9755768614628386,10.0,0.0,0.0,2000.0,isolated,P1,2.0,0.15,,,,,
SNXX,B_perp_2.0x_iso_P1_d0.5_noreb_conservative,perp,SNXX_USDT,1000.0,2458.4523,1.458452,1458.4523,384.6506,0.384651,-0.275124,0.732169,8386.63474,173901.9728,1.02805,1418.6593,465,623,0.56895,3.7261,6.5111,3489.4845,False,0,346,45.583,0.7909,0.759081,same_wallet,long,666.671196,,0.0,0.0,0.0,808.369541,807.883448,16.102318,0.0,-16.102318,0.0,,,conservative,0.0,,,,0.790852,0.9791068924916272,10.0,0.0,0.0,2000.0,isolated,P1,2.0,0.15,,,,,
SNXX,B_perp_2.5x_iso_P1_d0.0_reb_conservative,perp,SNXX_USDT,1000.0,1774.4849,0.774485,774.4849,382.369,0.382369,-0.228085,0.234298,115487.274704,6706.2362,1.237994,625.5967,465,631,0.576256,3.3968,4.2727,255.5615,False,0,743,45.583,2.3097,0.742102,same_wallet,long,950.61763,,6.929236,0.0,0.0,-164.788417,-165.958785,10.173898,0.0,-10.173898,0.0,,,conservative,0.75,,,,2.309745,0.9656765021529026,10.0,0.0,0.0,2500.0,isolated,P1,2.5,0.15,,,,,
SNXX,B_perp_2.5x_iso_P1_d0.5_reb_conservative,perp,SNXX_USDT,1000.0,2824.408,1.824408,1824.408,410.5825,0.410583,-0.305516,0.915282,10468.091337,174282.77,1.146558,1591.2045,465,623,0.56895,3.8259,7.1516,9935.9634,False,0,346,45.583,0.2469,0.752931,same_wallet,long,832.22911,,0.740572,0.0,0.0,1012.468942,1012.317161,20.138316,0.0,-20.138316,0.0,,,conservative,0.75,,,,0.246857,0.9732897468939766,10.0,0.0,0.0,2500.0,isolated,P1,2.5,0.15,,,,,
SNXX,B_perp_2.5x_iso_P1_d0.0_noreb_conservative,perp,SNXX_USDT,1000.0,1767.5557,0.767556,767.5557,383.7672,0.383767,-0.228616,0.234629,115487.274704,6646.2362,1.226918,625.5967,465,631,0.576256,3.3775,4.247,246.6964,False,0,743,45.583,9.239,0.740916,same_wallet,long,947.199497,,0.0,0.0,0.0,-164.788417,-169.469888,10.173898,0.0,-10.173898,0.0,,,conservative,0.0,,,,9.238982,0.9656765021529026,10.0,0.0,0.0,2500.0,isolated,P1,2.5,0.15,,,,,
SNXX,B_perp_2.5x_iso_P1_d0.5_noreb_conservative,perp,SNXX_USDT,1000.0,2823.6674,1.823667,1823.6674,410.6668,0.410667,-0.305598,0.915431,10468.091337,174212.0244,1.146092,1591.2045,465,623,0.56895,3.8255,7.1506,9913.0813,False,0,346,45.583,0.9874,0.752895,same_wallet,long,831.943882,,0.0,0.0,0.0,1012.468942,1011.861818,20.138316,0.0,-20.138316,0.0,,,conservative,0.0,,,,0.987429,0.9732897468939766,10.0,0.0,0.0,2500.0,isolated,P1,2.5,0.15,,,,,
SNXX,B_perp_3.0x_iso_P1_d0.0_reb_conservative,perp,SNXX_USDT,1000.0,1929.8146,0.929815,929.8146,413.2866,0.413287,-0.25767,0.271712,138663.957456,6705.5246,1.448645,641.8513,465,631,0.576256,3.5636,4.5652,465.2738,False,0,743,45.583,2.7733,0.742233,same_wallet,long,1141.186751,,8.319837,0.0,0.0,-197.753876,-199.159105,12.213073,0.0,-12.213073,0.0,,,conservative,0.75,,,,2.773279,0.9529744730944514,10.0,0.0,0.0,3000.0,isolated,P1,3.0,0.15,-2759.316408835571,,,,
SNXX,B_perp_3.0x_iso_P1_d0.5_reb_conservative,perp,SNXX_USDT,1000.0,3189.2033,2.189203,2189.2033,437.9394,0.437939,-0.329549,1.097555,12610.411492,173602.8449,1.243055,1761.148,75,623,0.56895,3.8884,7.7515,24642.6062,False,0,354,45.583,0.2972,0.744579,same_wallet,long,1001.577226,,0.891596,0.0,0.0,1211.968996,1211.786378,24.160294,0.0,-24.160294,0.0,,,conservative,0.75,,,,0.297199,0.9671866441793656,10.0,0.0,0.0,3000.0,isolated,P1,3.0,0.15,-1499.9276720379407,,,,
SNXX,B_perp_3.0x_iso_P1_d0.0_noreb_conservative,perp,SNXX_USDT,1000.0,1921.4947,0.921495,921.4947,414.8328,0.414833,-0.258289,0.271551,138663.957456,6645.5246,1.435683,641.8513,465,631,0.576256,3.5445,4.5394,447.6953,False,0,743,45.583,11.0931,0.741231,same_wallet,long,1137.082602,,0.0,0.0,0.0,-197.753876,-203.374792,12.213073,0.0,-12.213073,0.0,,,conservative,0.0,,,,11.093117,0.9529744730944514,10.0,0.0,0.0,3000.0,isolated,P1,3.0,0.15,,,,,
SNXX,B_perp_3.0x_iso_P1_d0.5_noreb_conservative,perp,SNXX_USDT,1000.0,3188.3117,2.188312,2188.3117,438.1182,0.438118,-0.329643,1.097774,12610.411492,173532.1417,1.242548,1761.148,75,623,0.56895,3.8881,7.7507,24577.4572,False,0,354,45.583,1.1888,0.744512,same_wallet,long,1001.233484,,0.0,0.0,0.0,1211.968996,1211.238523,24.160294,0.0,-24.160294,0.0,,,conservative,0.0,,,,1.188795,0.9671866441793656,10.0,0.0,0.0,3000.0,isolated,P1,3.0,0.15,,,,,
SNXX,A2_same_expo_conservative,spot,SNXX3L_USDT,1000.0,753.3126,-0.246687,-246.6874,719.7025,0.719702,-0.467152,0.342613,22044.596408,-11190.38,-0.582566,423.4495,465,623,0.56895,0.9636,1.0375,-1.2457,False,0,480,45.583,5.2907,-0.28952,same_exposure,long,-213.801515,5.290703,12.344974,0.0,0.0,-30.157229,-32.885896,0.0,0.0,0.0,0.0,0.0,native_atr,conservative,0.7,396.68276105359104,1.2177235442100711,,,,,,,,,,,,,2.633380300526389,2633.380300526389,,
