trade_id,timestamp,symbol,book,direction,side,price,qty,notional,fee,slippage,reason,realized_pnl,equity_after,cycle_id
1,2026-06-07 22:00:00+00:00,BTC_USDT,long,long,buy,62102.47589189189,0.0006000000000000001,37.26148553513514,0.0007452297107027028,0.0,grid_buy,0.0,2330.462109235154,0
2,2026-06-07 22:00:00+00:00,BTC_USDT,long,long,buy,62812.104162162155,0.0006000000000000001,37.6872624972973,0.000753745249945946,0.0,grid_buy,0.0,2330.498432992607,0
3,2026-06-07 23:00:00+00:00,BTC_USDT,long,long,sell,62812.104162162155,0.0006000000000000001,37.6872624972973,0.000753745249945946,0.0,grid_sell_tp,0.21213473583113185,2330.7349217446545,0
4,2026-06-08 00:00:00+00:00,BTC_USDT,long,long,funding,63331.1,0.0006000000000000001,37.99866,0.0,0.0,funding,-0.0037998660000000003,2330.7311218786544,0
5,2026-06-08 00:00:00+00:00,BTC_USDT,long,long,buy,63521.73243243243,0.0006000000000000001,38.11303945945946,0.0007622607891891892,0.0,grid_buy,0.0,2330.9852201584054,0
6,2026-06-08 00:00:00+00:00,BTC_USDT,long,long,sell,63521.73243243243,0.0006000000000000001,38.11303945945946,0.0007622607891891892,0.0,grid_sell_tp,0.31857046083243407,2330.914217357076,0
7,2026-06-08 01:00:00+00:00,BTC_USDT,long,long,buy,62812.104162162155,0.0006000000000000001,37.6872624972973,0.000753745249945946,0.0,grid_buy,0.0,2330.897561114529,0
8,2026-06-08 08:00:00+00:00,BTC_USDT,long,long,funding,63283.0,0.0012000000000000001,75.93960000000001,0.0,0.0,funding,-0.007593960000000002,2330.974927154529,0
9,2026-06-08 09:00:00+00:00,BTC_USDT,long,long,sell,63521.73243243243,0.0006000000000000001,38.11303945945946,0.0007622607891891892,0.0,grid_sell_tp,0.3717925811027024,2331.2467043531988,0
10,2026-06-08 12:00:00+00:00,BTC_USDT,long,long,buy,62812.104162162155,0.0006000000000000001,37.6872624972973,0.000753745249945946,0.0,grid_buy,0.0,2332.093868110652,0
11,2026-06-08 13:00:00+00:00,BTC_USDT,long,long,sell,63521.73243243243,0.0006000000000000001,38.11303945945946,0.0007622607891891892,0.0,grid_sell_tp,0.3984036412378344,2331.826845309322,0
12,2026-06-08 16:00:00+00:00,BTC_USDT,long,long,funding,63772.5,0.0006000000000000001,38.2635,0.0,0.0,funding,-0.00382635,2331.8315389593217,0
13,2026-06-09 00:00:00+00:00,BTC_USDT,long,long,funding,63082.3,0.0006000000000000001,37.849380000000004,0.0,0.0,funding,-0.0037849380000000007,2331.4136340213217,0
14,2026-06-09 00:00:00+00:00,BTC_USDT,short,short,sell,62812.104162162155,0.0006000000000000001,37.6872624972973,0.000753745249945946,0.0,grid_short,0.0,2331.2507627733694,0
15,2026-06-09 04:00:00+00:00,BTC_USDT,long,long,buy,62812.104162162155,0.0006000000000000001,37.6872624972973,0.000753745249945946,0.0,grid_buy,0.0,2331.511306530822,0
16,2026-06-09 05:00:00+00:00,BTC_USDT,long,long,sell,63521.73243243243,0.0006000000000000001,38.11303945945946,0.0007622607891891892,0.0,grid_sell_tp,0.41170917130540696,2331.6750237294923,0
17,2026-06-09 08:00:00+00:00,BTC_USDT,long,long,funding,63196.3,0.0006000000000000001,37.91778000000001,0.0,0.0,funding,-0.003791778000000001,2331.6712319514922,0
18,2026-06-09 08:00:00+00:00,BTC_USDT,short,short,funding,63196.3,0.0006000000000000001,37.91778000000001,0.0,0.0,funding,0.003791778000000001,2331.6750237294923,0
19,2026-06-09 14:00:00+00:00,BTC_USDT,short,short,sell,62102.47589189189,0.0006000000000000001,37.26148553513514,0.0007452297107027028,0.0,grid_short,0.0,2332.0100840349164,0
20,2026-06-09 14:00:00+00:00,BTC_USDT,short,short,buy,62102.47589189189,0.0006000000000000001,37.26148553513514,0.0007452297107027028,0.0,grid_cover_tp,0.21214325137037945,2331.6735332700705,0
21,2026-06-09 15:00:00+00:00,BTC_USDT,short,short,sell,61392.847621621615,0.0006000000000000001,36.83570857297297,0.0007367141714594594,0.0,grid_short,0.0,2331.8319451288726,0
22,2026-06-09 15:00:00+00:00,BTC_USDT,short,short,buy,61392.847621621615,0.0006000000000000001,36.83570857297297,0.0007367141714594594,0.0,grid_cover_tp,0.31859600745016375,2331.672059841728,0
23,2026-06-09 16:00:00+00:00,BTC_USDT,long,long,funding,61126.5,0.0006000000000000001,36.675900000000006,0.0,0.0,funding,-0.003667590000000001,2331.6683922517277,0
24,2026-06-09 16:00:00+00:00,BTC_USDT,short,short,funding,61126.5,0.0006000000000000001,36.675900000000006,0.0,0.0,funding,0.003667590000000001,2331.672059841728,0
25,2026-06-09 19:00:00+00:00,BTC_USDT,short,short,sell,62102.47589189189,0.0006000000000000001,37.26148553513514,0.0007452297107027028,0.0,grid_short,0.0,2331.6723201471523,0
26,2026-06-10 00:00:00+00:00,BTC_USDT,long,long,funding,61720.8,0.0006000000000000001,37.03248000000001,0.0,0.0,funding,-0.003703248000000001,2331.8966168991524,0
27,2026-06-10 00:00:00+00:00,BTC_USDT,short,short,funding,61720.8,0.0012000000000000001,74.06496000000001,0.0,0.0,funding,0.007406496000000002,2331.9040233951523,0
28,2026-06-10 02:00:00+00:00,BTC_USDT,short,short,buy,61392.847621621615,0.0006000000000000001,36.83570857297297,0.0007367141714594594,0.0,grid_cover_tp,0.3718181277204365,2332.100058108008,0
29,2026-06-10 08:00:00+00:00,BTC_USDT,long,long,funding,61685.4,0.0006000000000000001,37.01124,0.0,0.0,funding,-0.003701124,2332.096356984008,0
30,2026-06-10 08:00:00+00:00,BTC_USDT,short,short,funding,61685.4,0.0006000000000000001,37.01124,0.0,0.0,funding,0.003701124,2332.100058108008,0
31,2026-06-10 14:00:00+00:00,BTC_USDT,long,long,buy,62102.47589189189,0.0006000000000000001,37.26148553513514,0.0007452297107027028,0.0,grid_buy,0.0,2332.1537473431617,0
32,2026-06-10 15:00:00+00:00,BTC_USDT,long,long,sell,62812.104162162155,0.0006000000000000001,37.6872624972973,0.000753745249945946,0.0,grid_sell_tp,0.20548197079734776,2332.524336095209,0
33,2026-06-10 16:00:00+00:00,BTC_USDT,long,long,funding,62638.6,0.0006000000000000001,37.58316,0.0,0.0,funding,-0.0037583160000000003,2332.5205777792094,0
34,2026-06-10 16:00:00+00:00,BTC_USDT,short,short,funding,62638.6,0.0006000000000000001,37.58316,0.0,0.0,funding,0.0037583160000000003,2332.524336095209,0
35,2026-06-10 16:00:00+00:00,BTC_USDT,long,long,buy,62102.47589189189,0.0006000000000000001,37.26148553513514,0.0007452297107027028,0.0,grid_buy,0.0,2332.592665330363,0
36,2026-06-10 18:00:00+00:00,BTC_USDT,short,short,sell,62102.47589189189,0.0006000000000000001,37.26148553513514,0.0007452297107027028,0.0,grid_short,0.0,2332.5228456357877,0
37,2026-06-10 21:00:00+00:00,BTC_USDT,short,short,buy,61392.847621621615,0.0006000000000000001,36.83570857297297,0.0007367141714594594,0.0,grid_cover_tp,0.3984291878555641,2332.5004203486433,0
38,2026-06-11 00:00:00+00:00,BTC_USDT,long,long,funding,61516.8,0.0012000000000000001,73.82016000000002,0.0,0.0,funding,-0.007382016000000002,2332.5890983326435,0
39,2026-06-11 00:00:00+00:00,BTC_USDT,short,short,funding,61516.8,0.0006000000000000001,36.91008000000001,0.0,0.0,funding,0.003691008000000001,2332.5927893406433,0
40,2026-06-11 03:00:00+00:00,BTC_USDT,long,long,buy,62812.104162162155,0.0006000000000000001,37.6872624972973,0.000753745249945946,0.0,grid_buy,0.0,2333.2193330980963,0
41,2026-06-11 03:00:00+00:00,BTC_USDT,long,long,sell,62812.104162162155,0.0006000000000000001,37.6872624972973,0.000753745249945946,0.0,grid_sell_tp,0.2099171474865415,2333.2935218501434,0
42,2026-06-11 08:00:00+00:00,BTC_USDT,long,long,funding,62717.8,0.0012000000000000001,75.26136000000001,0.0,0.0,funding,-0.007526136000000001,2333.3043557141436,0
43,2026-06-11 08:00:00+00:00,BTC_USDT,short,short,funding,62717.8,0.0006000000000000001,37.630680000000005,0.0,0.0,funding,0.0037630680000000005,2333.3081187821435,0
44,2026-06-11 16:00:00+00:00,BTC_USDT,long,long,funding,62746.4,0.0012000000000000001,75.29568,0.0,0.0,funding,-0.007529568,2333.317749214143,0
45,2026-06-11 16:00:00+00:00,BTC_USDT,short,short,funding,62746.4,0.0006000000000000001,37.64784,0.0,0.0,funding,0.003764784,2333.321513998143,0
46,2026-06-11 17:00:00+00:00,BTC_USDT,long,long,sell,63521.73243243243,0.0006000000000000001,38.11303945945946,0.0007622607891891892,0.0,grid_sell_tp,0.6356855941094626,2333.7859511968136,0
47,2026-06-12 00:00:00+00:00,BTC_USDT,long,long,funding,63619.4,0.0006000000000000001,38.171640000000004,0.0,0.0,funding,-0.0038171640000000005,2333.7821340328137,0
48,2026-06-12 00:00:00+00:00,BTC_USDT,short,short,funding,63619.4,0.0006000000000000001,38.171640000000004,0.0,0.0,funding,0.0038171640000000005,2333.7859511968136,0
49,2026-06-12 08:00:00+00:00,BTC_USDT,long,long,funding,63093.9,0.0006000000000000001,37.85634,0.0,0.0,funding,-0.0037856340000000004,2333.7821655628136,0
50,2026-06-12 08:00:00+00:00,BTC_USDT,short,short,funding,63093.9,0.0006000000000000001,37.85634,0.0,0.0,funding,0.0037856340000000004,2333.7859511968136,0
51,2026-06-12 15:00:00+00:00,BTC_USDT,long,long,sell,64231.360702702696,0.0006000000000000001,38.53881642162162,0.0007707763284324324,0.0,grid_sell_tp,1.0614540407323794,2334.166516842107,1
52,2026-06-12 16:00:00+00:00,BTC_USDT,short,short,funding,63595.9,0.0006000000000000001,38.157540000000004,0.0,0.0,funding,0.0038157540000000006,2334.1702725961068,0
53,2026-06-12 16:00:00+00:00,BTC_USDT,long,long,buy,63521.73243243243,0.0006000000000000001,38.11303945945946,0.0007622607891891892,0.0,grid_buy,0.0,2334.214010875858,1
54,2026-06-13 00:00:00+00:00,BTC_USDT,long,long,funding,63577.6,0.0006000000000000001,38.14656,0.0,0.0,funding,-0.0038146560000000005,2334.210196219858,1
55,2026-06-13 00:00:00+00:00,BTC_USDT,short,short,funding,63577.6,0.0006000000000000001,38.14656,0.0,0.0,funding,0.0038146560000000005,2334.214010875858,0
56,2026-06-13 08:00:00+00:00,BTC_USDT,long,long,funding,63844.3,0.0006000000000000001,38.306580000000004,0.0,0.0,funding,-0.0038306580000000007,2334.210180217858,1
57,2026-06-13 08:00:00+00:00,BTC_USDT,short,short,funding,63844.3,0.0006000000000000001,38.306580000000004,0.0,0.0,funding,0.0038306580000000007,2334.214010875858,0
