symbol,window,range_down_pct,range_up_pct,grid_count,move,sells_only,n_prints,first_px,last_px,arb,n_win,n_loss,grid_profit,mtm,net,equity,max_dd_pct,shifts,n_base,end_quote,inv,gap
SNXX3S_USDT,full,0.0,0.05,10,up,True,27829,1.0107,0.010265,9,9,0,44.0982,0.0,44.0982,2044.0982,0.066975,67,9,2044.0982,0.0,0.0
SOXL3S_USDT,full,0.0,0.05,10,up,True,62331,1.01083,0.8326,9,9,0,44.0982,0.0,44.0982,2044.0982,0.094702,592,9,2044.0982,0.0,0.0
SOXL3L_USDT,full,0.0,0.05,10,up,True,71701,1.00644,0.01545,9,9,0,44.0982,0.0,44.0982,2044.0982,0.01312,6,9,2044.0982,0.0,-0.0
SNXX3S_USDT,late,0.0,0.05,10,both,False,13950,0.01135,0.010265,524,326,198,-1798.4069,0.0,-1798.4069,201.5931,0.900147,3142,9,201.5931,0.0,-0.0
SNXX3S_USDT,full,0.0,0.05,10,both,False,27829,1.0107,0.010265,154,43,111,-1848.3117,0.0,-1848.3117,151.6883,0.924138,1156,9,151.6883,0.0,0.0
SNXX3L_USDT,late,0.0,0.05,10,both,False,19375,2.60438,1.0969,609,326,283,-1798.2136,0.0,-1798.2136,201.7864,0.900054,1669,9,201.7864,0.0,0.0
SOXL3L_USDT,late,0.0,0.05,10,both,False,30577,0.01701,0.01545,577,340,237,-1813.9561,0.0,-1813.9561,186.0439,0.908695,9984,9,186.0439,0.0,-0.0
SOXL3S_USDT,late,0.0,0.05,10,both,False,33373,3.5857,0.8326,495,252,243,-1801.8705,0.0,-1801.8705,198.1295,0.901593,849,9,198.1295,0.0,-0.0
SNXX3L_USDT,full,0.0,0.05,10,both,False,37108,1.00171,1.0969,199,80,119,-1799.9482,0.0,-1799.9482,200.0518,0.9028,19317,9,200.0518,0.0,-0.0
SOXL3L_USDT,full,0.0,0.05,10,both,False,71701,1.00644,0.01545,309,152,157,-1804.9932,0.0,-1804.9932,195.0068,0.910406,931,9,195.0068,0.0,-0.0
SOXL3S_USDT,full,0.0,0.05,10,both,False,62331,1.01083,0.8326,449,213,236,-1803.0221,0.0,-1803.0221,196.9779,0.901695,22167,9,196.9779,0.0,-0.0
SNXX3L_USDT,late,0.0,0.05,10,both,True,19375,2.60438,1.0969,9,5,4,6.1073,0.0,6.1073,2006.1073,0.012837,1669,9,2006.1073,0.0,0.0
SNXX3S_USDT,full,0.0,0.05,10,both,True,27829,1.0107,0.010265,9,0,9,-54.878,0.0,-54.878,1945.122,0.045398,1156,9,1945.122,0.0,-0.0
