range_down_pct,range_up_pct,grid_count,move,sells_only,full_median_eq,full_mean_eq,full_min_eq,full_max_eq,full_median_net,full_median_profit,full_median_mtm,full_median_dd,full_n_green,late_median_eq,late_mean_eq,late_min_eq,late_max_eq,late_median_net,late_median_profit,late_median_mtm,late_median_dd,late_n_green,score
0.0,0.1,10,both,True,1981.1133,1982.113075,1931.1253,2035.1004,-18.886700000000005,-18.886700000000005,0.0,0.032762,2,1969.1162,1975.11475,1909.1306,2053.096,-30.8838,-30.8838,0.0,0.0418735,2,1941.7227599999999
0.05,0.05,20,both,True,1988.7576,1979.5098,1913.5256,2026.9984,-11.242399999999998,-11.242399999999998,0.0,0.0233085,2,1988.2577,1984.8835,1936.0202,2026.9984,-11.742299999999998,-11.742299999999998,0.0,0.019852500000000002,2,1940.59412
0.0,0.1,20,both,True,1977.31475,1977.314725,1919.0787,2035.5507,-22.685250000000003,-22.685250000000003,0.0,0.035711,2,1969.8165,1973.5656250000002,1904.5822,2050.0473,-30.183500000000002,-30.183500000000002,0.0,0.036527000000000004,2,1933.6502150000001
0.0,0.1,20,none,False,2094.0367,2013.45765,1771.7205,2094.0367,94.0367,94.0367,0.0,0.12683650000000002,3,2094.0367,2094.0367,2094.0367,2094.0367,94.0367,94.0367,0.0,0.132028,4,1932.8786
0.0,0.1,20,none,True,2094.0367,2013.45765,1771.7205,2094.0367,94.0367,94.0367,0.0,0.12683650000000002,3,2094.0367,2094.0367,2094.0367,2094.0367,94.0367,94.0367,0.0,0.132028,4,1932.8786
0.0,0.1,20,up,True,2094.0367,2013.45765,1771.7205,2094.0367,94.0367,94.0367,0.0,0.12683650000000002,3,2094.0367,2094.0367,2094.0367,2094.0367,94.0367,94.0367,0.0,0.132028,4,1932.8786
0.02,0.1,20,none,True,2087.5373,2006.6583249999999,1764.0214,2087.5373,87.5373,87.5373,0.0,0.12185750000000001,3,2087.5373,2087.5373,2087.5373,2087.5373,87.5373,87.5373,0.0,0.1172135,4,1925.77935
0.02,0.1,20,up,True,2087.5373,2006.6583249999999,1764.0214,2087.5373,87.5373,87.5373,0.0,0.12185750000000001,3,2087.5373,2087.5373,2087.5373,2087.5373,87.5373,87.5373,0.0,0.1172135,4,1925.77935
0.05,0.1,20,both,True,1951.06855,1954.06785,1915.0772,1999.0571,-48.93145,-48.93145,0.0,0.059499,0,2002.0563499999998,1993.808325,1900.0808,2071.0398,2.056350000000002,2.056350000000002,0.0,0.040358,2,1922.875325
0.02,0.1,20,both,True,1945.67135,1954.219275,1921.977,2003.5574,-54.328649999999996,-54.328649999999996,0.0,0.042131,1,1963.96695,1972.3649249999999,1873.9885,2087.5373,-36.03305,-36.03305,0.0,0.0505765,2,1919.4876050000003
0.05,0.1,10,both,True,1950.31875,1969.814075,1902.3303,2076.2885,-49.68125,-49.68125,0.0,0.065668,1,1999.80685,1997.5574000000001,1914.3274,2076.2885,-0.19315000000000282,-0.19315000000000282,0.0,0.0415885,2,1919.126255
0.0,0.15,20,both,True,1963.44305,1955.56995,1900.0833,1995.3104,-36.55695,-36.55695,0.0,0.052036,0,1971.6911,1985.3753,1885.0869,2113.0321,-28.308899999999998,-28.308899999999998,0.0,0.049788,2,1916.091945
0.05,0.1,20,none,True,2071.0398,1990.2733,1747.9738,2071.0398,71.0398,71.0398,0.0,0.104019,3,2071.0398,2071.0398,2071.0398,2071.0398,71.0398,71.0398,0.0,0.09399,4,1909.5067999999999
0.05,0.1,20,up,True,2071.0398,1990.2733,1747.9738,2071.0398,71.0398,71.0398,0.0,0.104019,3,2071.0398,2071.0398,2071.0398,2071.0398,71.0398,71.0398,0.0,0.09399,4,1909.5067999999999
0.02,0.1,10,both,True,1927.1263,1940.922975,1912.7297,1996.7096,-72.8737,-72.8737,0.0,0.0472685,0,1954.71965,1967.316625,1867.1407,2092.6865,-45.28035,-45.28035,0.0,0.0529265,2,1907.93088
0.02,0.1,10,none,True,2092.6865,1984.847875,1661.332,2092.6865,92.6865,92.6865,0.0,0.142633,3,2092.6865,2092.6865,2092.6865,2092.6865,92.6865,92.6865,0.0,0.123749,4,1877.00925
0.02,0.1,10,up,True,2092.6865,1984.847875,1661.332,2092.6865,92.6865,92.6865,0.0,0.142633,3,2092.6865,2092.6865,2092.6865,2092.6865,92.6865,92.6865,0.0,0.123749,4,1877.00925
0.0,0.2,20,both,True,1945.57235,1933.07535,1839.0979,2002.0588,-54.42765,-54.42765,0.0,0.0693415,1,1972.066,1985.3128000000002,1846.0962,2151.023,-27.934000000000005,-27.934000000000005,0.0,0.067145,2,1872.439895
0.05,0.1,10,none,True,2076.2885,1968.59985,1645.5339,2076.2885,76.2885,76.2885,0.0,0.1135205,3,2076.2885,2076.2885,2076.2885,2076.2885,76.2885,76.2885,0.0,0.093944,4,1860.9112
0.05,0.1,10,up,True,2076.2885,1968.59985,1645.5339,2076.2885,76.2885,76.2885,0.0,0.1135205,3,2076.2885,2076.2885,2076.2885,2076.2885,76.2885,76.2885,0.0,0.093944,4,1860.9112
0.05,0.15,20,both,True,1941.7712999999999,1922.525925,1804.3043,2002.2568,-58.2287,-58.2287,0.0,0.0708805,1,2004.2563,1997.5079250000001,1862.2904,2119.2287,4.256300000000003,4.256300000000003,0.0,0.054238499999999995,2,1857.14162
0.05,0.15,10,both,True,1947.2205,1949.220025,1775.2618,2127.1773,-52.7795,-52.7795,0.0,0.0755915,1,2001.20755,1996.20875,1855.2426,2127.1773,1.2075499999999977,1.2075499999999977,0.0,0.063336,2,1842.84557
0.02,0.15,20,both,True,1928.2759999999998,1910.855175,1778.7119,2008.1568,-71.724,-71.724,0.0,0.064116,1,1942.72255,1964.1799,1832.2491,2139.0254,-57.27745,-57.27745,0.0,0.06963050000000001,2,1834.28857
0.0,0.15,10,both,True,1918.1284500000002,1902.382225,1774.163,1999.109,-81.87155,-81.87155,0.0,0.056642,0,1937.62375,1963.1176249999999,1843.1464,2134.0766,-62.37625,-62.37625,0.0,0.06615750000000001,2,1831.1493150000001
0.02,0.15,10,both,True,1932.525,1912.129875,1779.5617,2003.9078,-67.475,-67.475,0.0,0.0748575,1,1990.3111,1980.11355,1793.1584,2146.6736,-9.688900000000004,-9.688900000000004,0.0,0.0721965,2,1828.17003
0.0,0.2,10,both,True,1953.12005,1905.1315749999999,1719.1762,1995.11,-46.87995,-46.87995,0.0,0.070147,0,1969.1162,1994.1102,1859.1426,2179.0658,-30.8838,-30.8838,0.0,0.066843,2,1817.3526350000002
0.02,0.2,10,both,True,1967.5166,1921.327675,1721.1757,2029.1018,-32.4834,-32.4834,0.0,0.075178,1,2007.10705,1997.209425,1813.5535,2161.0701,7.107050000000001,7.107050000000001,0.0,0.0673475,2,1813.5535300000001
0.05,0.2,10,both,True,1929.2248,1941.7217999999998,1729.2728,2179.1648,-70.7752,-70.7752,0.0,0.0783295,1,2009.2056,1997.9583,1794.2572,2179.1648,9.205600000000004,9.205600000000004,0.0,0.07446449999999999,2,1802.2552799999999
0.05,0.2,20,both,True,1921.7266,1936.09815,1731.7722,2169.1672,-78.27340000000001,-78.27340000000001,0.0,0.085223,1,2002.33225,1983.899175,1761.765,2169.1672,2.332250000000002,2.332250000000002,0.0,0.074562,2,1794.75708
0.02,0.2,20,both,True,1929.7260999999999,1897.008975,1694.9325,2033.6512,-70.2739,-70.2739,0.0,0.0760475,1,1954.4702000000002,1978.664375,1814.8037,2190.9134,-45.5298,-45.5298,0.0,0.074132,2,1789.3448199999998
0.05,0.15,20,none,True,2119.2287,1925.9622000000002,1346.1627,2119.2287,119.2287,119.2287,0.0,0.1348535,3,2119.2287,2073.6024500000003,1936.7237,2119.2287,119.2287,119.2287,0.0,0.1125545,3,1696.1947
0.05,0.15,20,up,True,2119.2287,1925.9622000000002,1346.1627,2119.2287,119.2287,119.2287,0.0,0.1348535,3,2119.2287,2073.6024500000003,1936.7237,2119.2287,119.2287,119.2287,0.0,0.1125545,3,1696.1947
0.0,0.15,20,none,False,2141.5253,1921.3990999999999,1261.0205,2141.5253,141.5253,141.5253,0.0,0.1730505,3,2141.5253,2096.211475,1960.27,2141.5253,141.5253,141.5253,0.0,0.144026,3,1665.0218399999999
0.0,0.15,20,none,True,2141.5253,1921.3990999999999,1261.0205,2141.5253,141.5253,141.5253,0.0,0.1730505,3,2141.5253,2096.211475,1960.27,2141.5253,141.5253,141.5253,0.0,0.144026,3,1665.0218399999999
0.0,0.15,20,up,True,2141.5253,1921.3990999999999,1261.0205,2141.5253,141.5253,141.5253,0.0,0.1730505,3,2141.5253,2096.211475,1960.27,2141.5253,141.5253,141.5253,0.0,0.144026,3,1665.0218399999999
0.0,0.15,10,none,False,2134.0766,1914.7002249999998,1256.5711,2134.0766,134.0766,134.0766,0.0,0.161106,3,2134.0766,2088.950225,1953.5711,2134.0766,134.0766,134.0766,0.0,0.1440945,3,1659.22275
0.0,0.15,10,none,True,2134.0766,1914.7002249999998,1256.5711,2134.0766,134.0766,134.0766,0.0,0.161106,3,2134.0766,2088.950225,1953.5711,2134.0766,134.0766,134.0766,0.0,0.1440945,3,1659.22275
0.0,0.15,10,up,True,2134.0766,1914.7002249999998,1256.5711,2134.0766,134.0766,134.0766,0.0,0.161106,3,2134.0766,2088.9502249999996,1953.5711,2134.0766,134.0766,134.0766,0.0,0.1440945,3,1659.22275
0.05,0.15,10,none,True,2127.1773,1906.3012749999998,1243.6732,2127.1773,127.1773,127.1773,0.0,0.13734849999999998,3,2127.1773,2081.3010999999997,1943.6725,2127.1773,127.1773,127.1773,0.0,0.11433549999999999,3,1648.7242899999999
0.05,0.15,10,up,True,2127.1773,1906.3012749999998,1243.6732,2127.1773,127.1773,127.1773,0.0,0.13734849999999998,3,2127.1773,2081.3010999999997,1943.6725,2127.1773,127.1773,127.1773,0.0,0.11433549999999999,3,1648.7242899999999
