symbol,window,range_down_pct,range_up_pct,grid_count,move,sells_only,n_prints,first_px,last_px,arb,n_win,n_loss,grid_profit,mtm,net,equity,max_dd_pct,shifts,n_base,end_quote,inv,gap,scenario,seg_id
SOXL3S_USDT,SOXL3S_aug_high,0.0,0.05,10,both,True,6274,0.5717,0.9645,9,0,9,-79.872,0.0,-79.872,1920.128,0.041912,1507,9,1920.128,0.0,0.0,from_high,SOXL3S_aug_high
SOXL3S_USDT,SOXL3S_aug_trough,0.0,0.05,10,both,True,5412,0.465,0.9645,9,6,3,9.1066,0.0,9.1066,2009.1066,0.017007,2052,9,2009.1066,0.0,0.0,from_trough,SOXL3S_aug_trough
SOXL3L_USDT,SOXL3L_jun_high,0.0,0.05,20,none,False,3860,0.80587,0.87982,19,19,0,46.5481,0.0,46.5481,2046.5481,0.296221,0,19,2046.5481,0.0,0.0,from_high,SOXL3L_jun_high
SOXL3L_USDT,SOXL3L_jun_trough,0.0,0.05,20,none,False,1906,0.46705,0.87982,19,19,0,46.5481,0.0,46.5481,2046.5481,0.020536,0,19,2046.5481,0.0,-0.0,from_trough,SOXL3L_jun_trough
SNXX3L_USDT,SNXX3L_aug_trough,0.0,0.05,10,both,True,7892,0.56854,4.04558,9,3,6,-9.8888,0.0,-9.8888,1990.1112,0.020286,10028,9,1990.1112,0.0,0.0,from_trough,SNXX3L_aug_trough
SNXX3L_USDT,SNXX3L_open_high,0.0,0.05,20,none,False,1469,1.00171,2.35386,19,19,0,46.5481,0.0,46.5481,2046.5481,0.0,0,19,2046.5481,0.0,-0.0,from_high,SNXX3L_open_high
SNXX3L_USDT,SNXX3L_open_trough,0.0,0.05,20,none,False,1078,0.53062,2.35386,19,19,0,46.5481,0.0,46.5481,2046.5481,0.0,0,19,2046.5481,0.0,-0.0,from_trough,SNXX3L_open_trough
SOXL3S_USDT,SOXL3S_jun_high,0.0,0.05,20,none,False,2446,1.12385,1.83695,19,19,0,46.5481,0.0,46.5481,2046.5481,0.0032,0,19,2046.5481,0.0,0.0,from_high,SOXL3S_jun_high
SNXX3L_USDT,SNXX3L_aug_trough,0.0,0.05,20,none,False,7892,0.56854,4.04558,19,19,0,46.5481,0.0,46.5481,2046.5481,0.054787,0,19,2046.5481,0.0,0.0,from_trough,SNXX3L_aug_trough
SNXX3L_USDT,SNXX3L_aug_high,0.0,0.05,20,none,False,14773,2.17321,4.04558,19,19,0,46.5481,0.0,46.5481,2046.5481,0.111866,0,19,2046.5481,0.0,-0.0,from_high,SNXX3L_aug_high
SOXL3S_USDT,SOXL3S_jun_trough,0.0,0.05,20,none,False,1906,0.72385,1.83695,19,19,0,46.5481,0.0,46.5481,2046.5481,0.002876,0,19,2046.5481,0.0,-0.0,from_trough,SOXL3S_jun_trough
SOXL3S_USDT,SOXL3S_aug_high,0.0,0.05,20,none,False,6274,0.5717,0.9645,19,19,0,46.5481,0.0,46.5481,2046.5481,0.23469,0,19,2046.5481,0.0,-0.0,from_high,SOXL3S_aug_high
SOXL3S_USDT,SOXL3S_aug_trough,0.0,0.05,20,none,False,5412,0.465,0.9645,19,19,0,46.5481,0.0,46.5481,2046.5481,0.018217,0,19,2046.5481,0.0,0.0,from_trough,SOXL3S_aug_trough
SOXL3L_USDT,SOXL3L_jun_high,0.0,0.05,20,none,True,3860,0.80587,0.87982,19,19,0,46.5481,0.0,46.5481,2046.5481,0.296221,0,19,2046.5481,0.0,0.0,from_high,SOXL3L_jun_high
SOXL3L_USDT,SOXL3L_jun_trough,0.0,0.05,20,none,True,1906,0.46705,0.87982,19,19,0,46.5481,0.0,46.5481,2046.5481,0.020536,0,19,2046.5481,0.0,-0.0,from_trough,SOXL3L_jun_trough
SNXX3L_USDT,SNXX3L_open_trough,0.0,0.05,20,none,True,1078,0.53062,2.35386,19,19,0,46.5481,0.0,46.5481,2046.5481,0.0,0,19,2046.5481,0.0,-0.0,from_trough,SNXX3L_open_trough
SOXL3S_USDT,SOXL3S_jun_high,0.0,0.05,20,none,True,2446,1.12385,1.83695,19,19,0,46.5481,0.0,46.5481,2046.5481,0.0032,0,19,2046.5481,0.0,0.0,from_high,SOXL3S_jun_high
SNXX3L_USDT,SNXX3L_open_high,0.0,0.05,20,none,True,1469,1.00171,2.35386,19,19,0,46.5481,0.0,46.5481,2046.5481,0.0,0,19,2046.5481,0.0,-0.0,from_high,SNXX3L_open_high
SNXX3L_USDT,SNXX3L_aug_trough,0.0,0.05,20,none,True,7892,0.56854,4.04558,19,19,0,46.5481,0.0,46.5481,2046.5481,0.054787,0,19,2046.5481,0.0,0.0,from_trough,SNXX3L_aug_trough
SNXX3L_USDT,SNXX3L_aug_high,0.0,0.05,20,none,True,14773,2.17321,4.04558,19,19,0,46.5481,0.0,46.5481,2046.5481,0.111866,0,19,2046.5481,0.0,-0.0,from_high,SNXX3L_aug_high
SOXL3S_USDT,SOXL3S_aug_high,0.0,0.05,20,none,True,6274,0.5717,0.9645,19,19,0,46.5481,0.0,46.5481,2046.5481,0.23469,0,19,2046.5481,0.0,-0.0,from_high,SOXL3S_aug_high
SOXL3S_USDT,SOXL3S_jun_trough,0.0,0.05,20,none,True,1906,0.72385,1.83695,19,19,0,46.5481,0.0,46.5481,2046.5481,0.002876,0,19,2046.5481,0.0,-0.0,from_trough,SOXL3S_jun_trough
SOXL3S_USDT,SOXL3S_aug_trough,0.0,0.05,20,none,True,5412,0.465,0.9645,19,19,0,46.5481,0.0,46.5481,2046.5481,0.018217,0,19,2046.5481,0.0,0.0,from_trough,SOXL3S_aug_trough
SOXL3L_USDT,SOXL3L_jun_high,0.0,0.05,20,up,False,3860,0.80587,0.87982,58,58,0,53.7417,-6.7076,46.8181,2046.8181,0.296221,24,19,1153.5257,893.2924,0.0,from_high,SOXL3L_jun_high
SOXL3S_USDT,SOXL3S_jun_high,0.0,0.05,20,up,False,2446,1.12385,1.83695,472,472,0,108.6341,-298.0583,-189.9282,1810.0718,0.42077,352,19,8.1301,1801.9417,-0.0,from_high,SOXL3S_jun_high
