range_down_pct,range_up_pct,grid_count,move,sells_only,median_eq,mean_eq,min_eq,max_eq,median_net,median_profit,median_mtm,n_green,n_seg,score
0.0,0.15,10,none,False,2134.0766,2131.23938,2119.8905,2134.0766,134.0766,134.0766,0.0,5,5,2125.5649399999998
0.0,0.15,10,none,True,2134.0766,2131.23938,2119.8905,2134.0766,134.0766,134.0766,0.0,5,5,2125.5649399999998
0.0,0.15,10,up,True,2134.0766,2131.23938,2119.8905,2134.0766,134.0766,134.0766,0.0,5,5,2125.5649399999998
0.0,0.1,10,up,False,2234.8177,2235.50268,2038.8304,2411.5216,234.8177,326.0863,-90.4768,5,5,2117.22532
0.05,0.15,10,none,True,2127.1773,2123.3403200000002,2107.9924,2127.1773,127.1773,127.1773,0.0,5,5,2115.66636
0.05,0.15,10,up,True,2127.1773,2123.3403200000002,2107.9924,2127.1773,127.1773,127.1773,0.0,5,5,2115.66636
0.0,0.15,20,up,False,2264.7153,2241.69548,2015.8449,2484.9865,264.7153,289.0745,-60.1336,5,5,2115.39306
0.05,0.1,10,none,False,2151.0354,2138.31628,2088.1018,2189.4887,151.0354,151.0354,0.0,5,5,2113.27524
0.05,0.15,20,none,True,2119.2287,2115.79162,2102.0433,2119.2287,119.2287,119.2287,0.0,5,5,2108.91746
0.05,0.15,20,up,True,2119.2287,2115.79162,2102.0433,2119.2287,119.2287,119.2287,0.0,5,5,2108.91746
0.02,0.1,10,none,False,2120.7671,2119.3498,2099.6845,2146.4954,120.7671,120.7671,0.0,5,5,2108.1175399999997
0.05,0.1,20,up,False,2197.2746,2208.0508400000003,2041.264,2405.4479,197.2746,285.2529,-62.6234,5,5,2103.66824
0.02,0.1,20,none,False,2106.528,2104.85576,2092.0057,2126.6544,106.528,106.528,0.0,5,5,2097.81462
0.0,0.1,20,none,False,2094.0367,2094.0367,2094.0367,2094.0367,94.0367,94.0367,0.0,5,5,2094.0367
0.0,0.1,20,none,True,2094.0367,2094.0367,2094.0367,2094.0367,94.0367,94.0367,0.0,5,5,2094.0367
0.0,0.1,20,up,True,2094.0367,2094.0367,2094.0367,2094.0367,94.0367,94.0367,0.0,5,5,2094.0367
0.02,0.1,10,none,True,2092.6865,2092.6865,2092.6865,2092.6865,92.6865,92.6865,0.0,5,5,2092.6865
