symbol,fill_model,sizing,reanchor,initial_equity,final_equity,total_return,annualized_return,max_drawdown,max_intraday_drawdown,realized_grid_profit,inventory_unrealized_pnl,directional_pnl,gross_trading_profit,gross_fee,rebate_income,net_fee,ETF_management_fee,total_turnover_USDT,daily_average_turnover,number_of_grid_fills,number_of_round_trips,maker_fill_count,taker_fill_count,profit_per_100k_turnover,profit_per_1m_turnover,return / max_drawdown,Sharpe,Sortino,worst_day,best_day,longest_underwater_period,capital_utilization,grid_profit,initial_market_buy,initial_taker_fee,initial_slippage,reanchors,closed_grid_loss,paused_buys,window_id,confidence,allowed_in_stats,rebate_rate,n_prints,data_status,fee_source,range_mult,grid_n,start,end,regime
SOXL3L_USDT,base,fixed_quote,off,1500.0,1228.3388916195659,-0.18110740558695615,-0.8976129982015211,,,261.02492614247166,-8823.070246799207,0.0,-8562.045320656734,19.038816571333463,0.0,19.038816571333463,14.616659029064346,23765.108668163353,742.6596458801048,1768,650,1768,1,-1143.1090519033128,-11431.090519033129,,0.0,0.0,,,0,0.30693739121045904,261.02492614247166,534.5927360522342,0.454403825644399,0.0,0,0.0,False,S3_SOXL3L_USDT_pad15,REAL_GATE_ETF_WINDOW,True,0.0,29895,ok,qtb.costs.fees._SPOT_VIP_TABLE[7],1.0,56,2026-06-25 09:00:00+00:00,2026-08-31 23:00:00+00:00,drop_then_rise
SOXL3L_USDT,base,fixed_quote,off,1500.0,1228.3388916195659,-0.18110740558695615,-0.8976129982015211,,,261.02492614247166,-8823.070246799207,0.0,-8562.045320656734,19.038816571333463,13.327171599933349,5.711644971400114,14.616659029064346,23765.108668163353,742.6596458801048,1768,650,1768,1,-1143.1090519033128,-11431.090519033129,,0.0,0.0,,,0,0.30693739121045904,261.02492614247166,534.5927360522342,0.454403825644399,0.0,0,0.0,False,S3_SOXL3L_USDT_pad15,REAL_GATE_ETF_WINDOW,True,0.7,29895,ok,qtb.costs.fees._SPOT_VIP_TABLE[7],1.0,56,2026-06-25 09:00:00+00:00,2026-08-31 23:00:00+00:00,drop_then_rise
SOXL3L_USDT,conservative,fixed_quote,off,1500.0,1414.705129615997,-0.05686324692266864,-0.48714768467890934,,,194.85049701113306,-5205.666193013595,0.0,-5010.815696002462,11.276833559941476,0.0,11.276833559941476,7.623391168115611,14062.629903923604,439.4571844976126,1991,643,1991,1,-606.5356975668177,-6065.356975668176,,0.0,0.0,,,0,0.16069505500698067,194.85049701113306,534.6020252396547,0.454403825644399,0.009289187420552023,0,0.0,False,S3_SOXL3L_USDT_pad15,REAL_GATE_ETF_WINDOW,True,0.0,29895,ok,qtb.costs.fees._SPOT_VIP_TABLE[7],1.0,56,2026-06-25 09:00:00+00:00,2026-08-31 23:00:00+00:00,drop_then_rise
SOXL3L_USDT,conservative,fixed_quote,off,1500.0,1414.705129615997,-0.05686324692266864,-0.48714768467890934,,,194.85049701113306,-5205.666193013595,0.0,-5010.815696002462,11.276833559941476,7.89378349195905,3.383050067982426,7.623391168115611,14062.629903923604,439.4571844976126,1991,643,1991,1,-606.5356975668177,-6065.356975668176,,0.0,0.0,,,0,0.16069505500698067,194.85049701113306,534.6020252396547,0.454403825644399,0.009289187420552023,0,0.0,False,S3_SOXL3L_USDT_pad15,REAL_GATE_ETF_WINDOW,True,0.7,29895,ok,qtb.costs.fees._SPOT_VIP_TABLE[7],1.0,56,2026-06-25 09:00:00+00:00,2026-08-31 23:00:00+00:00,drop_then_rise
SOXL3S_USDT,base,fixed_quote,off,500.0,618.6295412954543,0.23725908259090844,18.861190973625874,,,132.7057039080359,-8833.447285917282,0.0,-8700.741582009246,15.495659773281002,0.0,15.495659773281002,4.368647674810793,19357.573711075194,744.5220658105844,2496,1068,2496,1,612.8326982817161,6128.3269828171615,,0.0,0.0,,,0,0.18652921879641582,132.7057039080359,192.01608842067802,0.16321367515757632,0.0,0,0.0,False,S3_SOXL3S_USDT_pad15,REAL_GATE_ETF_WINDOW,True,0.0,21516,ok,qtb.costs.fees._SPOT_VIP_TABLE[7],1.0,48,2026-06-25 09:00:00+00:00,2026-08-31 23:00:00+00:00,drop_then_rise
SOXL3S_USDT,base,fixed_quote,off,500.0,618.6295412954543,0.23725908259090844,18.861190973625874,,,132.7057039080359,-8833.447285917282,0.0,-8700.741582009246,15.495659773281002,10.846961841296835,4.648697931984167,4.368647674810793,19357.573711075194,744.5220658105844,2496,1068,2496,1,612.8326982817161,6128.3269828171615,,0.0,0.0,,,0,0.18652921879641582,132.7057039080359,192.01608842067802,0.16321367515757632,0.0,0,0.0,False,S3_SOXL3S_USDT_pad15,REAL_GATE_ETF_WINDOW,True,0.7,21516,ok,qtb.costs.fees._SPOT_VIP_TABLE[7],1.0,48,2026-06-25 09:00:00+00:00,2026-08-31 23:00:00+00:00,drop_then_rise
SOXL3S_USDT,conservative,fixed_quote,off,500.0,608.5501523137093,0.2171003046274187,14.770700320753757,,,120.81045247149135,-7693.23983853997,0.0,-7572.429386068478,13.803399205271457,0.0,13.803399205271457,4.192463472481358,17242.24800106305,663.1633846562711,2640,1047,2640,1,629.5591636717949,6295.591636717949,,0.0,0.0,,,0,0.17008350384240933,120.81045247149135,192.01634267926968,0.16321367515757632,0.0002542585916660482,0,0.0,False,S3_SOXL3S_USDT_pad15,REAL_GATE_ETF_WINDOW,True,0.0,21516,ok,qtb.costs.fees._SPOT_VIP_TABLE[7],1.0,48,2026-06-25 09:00:00+00:00,2026-08-31 23:00:00+00:00,drop_then_rise
SOXL3S_USDT,conservative,fixed_quote,off,500.0,608.5501523137093,0.2171003046274187,14.770700320753757,,,120.81045247149135,-7693.23983853997,0.0,-7572.429386068478,13.803399205271457,9.662379443690023,4.141019761581434,4.192463472481358,17242.24800106305,663.1633846562711,2640,1047,2640,1,629.5591636717949,6295.591636717949,,0.0,0.0,,,0,0.17008350384240933,120.81045247149135,192.01634267926968,0.16321367515757632,0.0002542585916660482,0,0.0,False,S3_SOXL3S_USDT_pad15,REAL_GATE_ETF_WINDOW,True,0.7,21516,ok,qtb.costs.fees._SPOT_VIP_TABLE[7],1.0,48,2026-06-25 09:00:00+00:00,2026-08-31 23:00:00+00:00,drop_then_rise
ETH3L_USDT,base,fixed_quote,off,750.0,799.6359698372196,0.06618129311629284,1.0770550553173108,,,59.4335172169345,-3400.4197206514286,0.0,-3340.986203434494,6.1810109487291856,0.0,6.1810109487291856,9.448600714675317,7709.557662909736,240.92367696592925,819,342,819,1,643.8238353935084,6438.238353935084,,0.0,0.0,,,0,0.2822549754063388,59.4335172169345,267.2963680261171,0.2272019128221995,0.0,0,0.0,False,S3_ETH3L_USDT_pad30,REAL_GATE_ETF_WINDOW,True,0.0,48800,ok,qtb.costs.fees._SPOT_VIP_TABLE[7],1.0,56,2026-05-26 00:00:00+00:00,2026-08-31 23:00:00+00:00,drop_then_rise
ETH3L_USDT,base,fixed_quote,off,750.0,799.6359698372196,0.06618129311629284,1.0770550553173108,,,59.4335172169345,-3400.4197206514286,0.0,-3340.986203434494,6.1810109487291856,4.3267076641103825,1.854303284618803,9.448600714675317,7709.557662909736,240.92367696592925,819,342,819,1,643.8238353935084,6438.238353935084,,0.0,0.0,,,0,0.2822549754063388,59.4335172169345,267.2963680261171,0.2272019128221995,0.0,0,0.0,False,S3_ETH3L_USDT_pad30,REAL_GATE_ETF_WINDOW,True,0.7,48800,ok,qtb.costs.fees._SPOT_VIP_TABLE[7],1.0,56,2026-05-26 00:00:00+00:00,2026-08-31 23:00:00+00:00,drop_then_rise
