date,equity,daily_pnl,daily_ret,cum_ret
2026-05-15 00:00:00+00:00,10213.844030283217,213.84403028321685,0.021384403028321675,0.021384403028321675
2026-05-16 00:00:00+00:00,10192.7714622204,-21.072568062816572,-0.002063137835308426,0.01927714622204002
2026-05-17 00:00:00+00:00,10209.591873342528,16.820411122127553,0.0016502293987923355,0.020959187334252727
2026-05-18 00:00:00+00:00,9642.6664105297,-566.9254628128274,-0.05552870965323131,-0.03573335894703
2026-05-19 00:00:00+00:00,10012.996001972351,370.3295914426508,0.03840530986722235,0.0012996001972351845
2026-05-20 00:00:00+00:00,10969.1421330617,956.1461310893483,0.09549051361860195,0.09691421330617
2026-05-21 00:00:00+00:00,11721.410645286946,752.268512225246,0.06858043255341362,0.1721410645286945
2026-05-22 00:00:00+00:00,12382.050069986548,660.6394246996024,0.05636176776770796,0.23820500699865477
2026-05-23 00:00:00+00:00,12815.542197406674,433.49212742012605,0.035009721731855015,0.2815542197406673
2026-05-24 00:00:00+00:00,12931.291132671278,115.74893526460437,0.009031918703215513,0.29312911326712787
2026-05-25 00:00:00+00:00,13183.67650882025,252.38537614897177,0.019517415048472042,0.318367650882025
2026-05-26 00:00:00+00:00,13928.959041546728,745.2825327264782,0.05653070539373917,0.3928959041546729
2026-05-27 00:00:00+00:00,13928.959041546728,0.0,0.0,0.3928959041546729
2026-05-28 00:00:00+00:00,13928.959041546728,0.0,0.0,0.3928959041546729
2026-05-29 00:00:00+00:00,13928.959041546728,0.0,0.0,0.3928959041546729
2026-05-30 00:00:00+00:00,13928.959041546728,0.0,0.0,0.3928959041546729
2026-05-31 00:00:00+00:00,13928.959041546728,0.0,0.0,0.3928959041546729
2026-06-01 00:00:00+00:00,13928.959041546728,0.0,0.0,0.3928959041546729
2026-06-02 00:00:00+00:00,13928.959041546728,0.0,0.0,0.3928959041546729
2026-06-03 00:00:00+00:00,13928.959041546728,0.0,0.0,0.3928959041546729
2026-06-04 00:00:00+00:00,13928.959041546728,0.0,0.0,0.3928959041546729
2026-06-05 00:00:00+00:00,13928.959041546728,0.0,0.0,0.3928959041546729
2026-06-06 00:00:00+00:00,13928.959041546728,0.0,0.0,0.3928959041546729
2026-06-07 00:00:00+00:00,13928.959041546728,0.0,0.0,0.3928959041546729
2026-06-08 00:00:00+00:00,13928.959041546728,0.0,0.0,0.3928959041546729
2026-06-09 00:00:00+00:00,13928.959041546728,0.0,0.0,0.3928959041546729
2026-06-10 00:00:00+00:00,13928.959041546728,0.0,0.0,0.3928959041546729
2026-06-11 00:00:00+00:00,13928.959041546728,0.0,0.0,0.3928959041546729
2026-06-12 00:00:00+00:00,13928.959041546728,0.0,0.0,0.3928959041546729
2026-06-13 00:00:00+00:00,13928.959041546728,0.0,0.0,0.3928959041546729
2026-06-14 00:00:00+00:00,13928.959041546728,0.0,0.0,0.3928959041546729
2026-06-15 00:00:00+00:00,13928.959041546728,0.0,0.0,0.3928959041546729
2026-06-16 00:00:00+00:00,13928.959041546728,0.0,0.0,0.3928959041546729
2026-06-17 00:00:00+00:00,13928.959041546728,0.0,0.0,0.3928959041546729
2026-06-18 00:00:00+00:00,13928.959041546728,0.0,0.0,0.3928959041546729
2026-06-19 00:00:00+00:00,13928.959041546728,0.0,0.0,0.3928959041546729
2026-06-20 00:00:00+00:00,13928.959041546728,0.0,0.0,0.3928959041546729
2026-06-21 00:00:00+00:00,13928.959041546728,0.0,0.0,0.3928959041546729
2026-06-22 00:00:00+00:00,13928.959041546728,0.0,0.0,0.3928959041546729
2026-06-23 00:00:00+00:00,13928.959041546728,0.0,0.0,0.3928959041546729
2026-06-24 00:00:00+00:00,13928.959041546728,0.0,0.0,0.3928959041546729
2026-06-25 00:00:00+00:00,13928.959041546728,0.0,0.0,0.3928959041546729
2026-06-26 00:00:00+00:00,13928.959041546728,0.0,0.0,0.3928959041546729
2026-06-27 00:00:00+00:00,13928.959041546728,0.0,0.0,0.3928959041546729
2026-06-28 00:00:00+00:00,13928.959041546728,0.0,0.0,0.3928959041546729
2026-06-29 00:00:00+00:00,13928.959041546728,0.0,0.0,0.3928959041546729
2026-06-30 00:00:00+00:00,13928.959041546728,0.0,0.0,0.3928959041546729
2026-07-01 00:00:00+00:00,13928.959041546728,0.0,0.0,0.3928959041546729
2026-07-02 00:00:00+00:00,13928.959041546728,0.0,0.0,0.3928959041546729
2026-07-03 00:00:00+00:00,13928.959041546728,0.0,0.0,0.3928959041546729
2026-07-04 00:00:00+00:00,13928.959041546728,0.0,0.0,0.3928959041546729
2026-07-05 00:00:00+00:00,13928.959041546728,0.0,0.0,0.3928959041546729
2026-07-06 00:00:00+00:00,13928.959041546728,0.0,0.0,0.3928959041546729
2026-07-07 00:00:00+00:00,13928.959041546728,0.0,0.0,0.3928959041546729
2026-07-08 00:00:00+00:00,13928.959041546728,0.0,0.0,0.3928959041546729
2026-07-09 00:00:00+00:00,13928.959041546728,0.0,0.0,0.3928959041546729
2026-07-10 00:00:00+00:00,13928.959041546728,0.0,0.0,0.3928959041546729
2026-07-11 00:00:00+00:00,13928.959041546728,0.0,0.0,0.3928959041546729
2026-07-12 00:00:00+00:00,13928.959041546728,0.0,0.0,0.3928959041546729
2026-07-13 00:00:00+00:00,13928.959041546728,0.0,0.0,0.3928959041546729
2026-07-14 00:00:00+00:00,13928.959041546728,0.0,0.0,0.3928959041546729
2026-07-15 00:00:00+00:00,13928.959041546728,0.0,0.0,0.3928959041546729
